date,asset,close,ret
2016-01-05,GLD,103.18,0.0028145884
2016-01-06,GLD,104.67,0.0143374875
2016-01-07,GLD,106.15,0.014040676
2016-01-08,GLD,105.68,-0.0044375393
2016-01-11,GLD,104.74,-0.008934595
2016-01-12,GLD,104.21,-0.0050729834
2016-01-13,GLD,104.72,0.004882048
2016-01-14,GLD,103.02,-0.016367022
2016-01-15,GLD,104.08,0.01023674
2016-01-19,GLD,103.98,-0.00096124655
2016-01-20,GLD,105.37,0.013279387
2016-01-21,GLD,105.49,0.0011381498
2016-01-22,GLD,105.0,-0.0046557914
2016-01-25,GLD,106.08,0.010233194
2016-01-26,GLD,107.29,0.011341914
2016-01-27,GLD,107.69,0.003721295
2016-01-28,GLD,106.54,-0.010736242
2016-01-29,GLD,106.95,0.003840897
2016-02-01,GLD,108.05,0.010232704
2016-02-02,GLD,108.09,0.00037006836
2016-02-03,GLD,109.25,0.0106746545
2016-02-04,GLD,110.57,0.012009968
2016-02-05,GLD,112.32,0.015703136
2016-02-08,GLD,113.83,0.013354186
2016-02-09,GLD,113.58,-0.0021986729
2016-02-10,GLD,114.46,0.007717958
2016-02-11,GLD,119.06,0.03940214
2016-02-12,GLD,118.36,-0.0058967145
2016-02-16,GLD,114.77,-0.030800736
2016-02-17,GLD,115.48,0.0061672875
2016-02-18,GLD,118.29,0.024041861
2016-02-19,GLD,117.58,-0.006020276
2016-02-22,GLD,115.49,-0.017935041
2016-02-23,GLD,117.22,0.014868594
2016-02-24,GLD,117.61,0.0033215496
2016-02-25,GLD,117.92,0.0026323418
2016-02-26,GLD,117.11,-0.0068927435
2016-02-29,GLD,118.64,0.012980023
2016-03-01,GLD,117.77,-0.0073601515
2016-03-02,GLD,118.68,0.0076972567
2016-03-03,GLD,120.73,0.017125877
2016-03-04,GLD,120.54,-0.0015750194
2016-03-07,GLD,121.14,0.004965241
2016-03-08,GLD,120.58,-0.004633448
2016-03-09,GLD,119.58,-0.00832783
2016-03-10,GLD,121.5,0.015928645
2016-03-11,GLD,119.41,-0.017351283
2016-03-14,GLD,117.87,-0.012980634
2016-03-15,GLD,117.96,0.00076323067
2016-03-16,GLD,120.59,0.022050755
2016-03-17,GLD,120.13,-0.003821865
2016-03-18,GLD,119.8,-0.0027507558
2016-03-21,GLD,118.96,-0.007036417
2016-03-22,GLD,119.31,0.002937833
2016-03-23,GLD,116.61,-0.02289009
2016-03-24,GLD,116.33,-0.0024040432
2016-03-28,GLD,116.6,0.0023182651
2016-03-29,GLD,118.76,0.018355407
2016-03-30,GLD,117.1,-0.01407641
2016-03-31,GLD,117.64,0.004600851
2016-04-01,GLD,116.93,-0.0060536405
2016-04-04,GLD,116.15,-0.0066929953
2016-04-05,GLD,117.66,0.012916668
2016-04-06,GLD,116.94,-0.006138137
2016-04-07,GLD,118.61,0.014179802
2016-04-08,GLD,118.43,-0.0015187339
2016-04-11,GLD,120.03,0.01341963
2016-04-12,GLD,120.05,0.00016664671
2016-04-13,GLD,118.77,-0.010719527
2016-04-14,GLD,117.11,-0.014075153
2016-04-15,GLD,117.92,0.0068927435
2016-04-18,GLD,117.74,-0.0015276275
2016-04-19,GLD,119.58,0.015506833
2016-04-20,GLD,118.97,-0.005114248
2016-04-21,GLD,119.42,0.003775305
2016-04-22,GLD,117.89,-0.012894695
2016-04-25,GLD,118.23,0.0028799272
2016-04-26,GLD,118.7,0.0039673676
2016-04-27,GLD,119.04,0.0028603028
2016-04-28,GLD,121.29,0.018724801
2016-04-29,GLD,123.65,0.019270627
2016-05-02,GLD,123.24,-0.0033213499
2016-05-03,GLD,122.96,-0.0022745647
2016-05-04,GLD,122.21,-0.0061182226
2016-05-05,GLD,122.07,-0.0011462208
2016-05-06,GLD,123.18,0.009052055
2016-05-09,GLD,120.65,-0.020752897
2016-05-10,GLD,120.98,0.0027314657
2016-05-11,GLD,122.12,0.00937892
2016-05-12,GLD,121.16,-0.007892174
2016-05-13,GLD,121.71,0.004529142
2016-05-16,GLD,121.8,0.000739222
2016-05-17,GLD,122.22,0.0034423291
2016-05-18,GLD,120.1,-0.017497992
2016-05-19,GLD,119.87,-0.0019168713
2016-05-20,GLD,119.71,-0.0013357016
2016-05-23,GLD,119.37,-0.0028442075
2016-05-24,GLD,117.3,-0.017493155
2016-05-25,GLD,116.98,-0.002731773
2016-05-26,GLD,116.58,-0.0034252603
2016-05-27,GLD,115.62,-0.008268773
2016-05-31,GLD,116.06,0.0037983023
2016-06-01,GLD,115.94,-0.0010344407
2016-06-02,GLD,115.67,-0.0023315435
2016-06-03,GLD,118.88,0.027373264
2016-06-06,GLD,118.92,0.00033642486
2016-06-07,GLD,118.82,-0.0008412424
2016-06-08,GLD,120.58,0.014703708
2016-06-09,GLD,121.25,0.0055410815
2016-06-10,GLD,121.74,0.0040330756
2016-06-13,GLD,122.64,0.007365624
2016-06-14,GLD,122.77,0.0010594293
2016-06-15,GLD,123.68,0.0073849284
2016-06-16,GLD,122.38,-0.010566652
2016-06-17,GLD,123.95,0.012747298
2016-06-20,GLD,123.21,-0.0059880246
2016-06-21,GLD,120.84,-0.019422883
2016-06-22,GLD,120.9,0.000496444
2016-06-23,GLD,120.11,-0.0065557756
2016-06-24,GLD,126.0,0.04787391
2016-06-27,GLD,126.68,0.005382317
2016-06-28,GLD,125.32,-0.01079376
2016-06-29,GLD,125.84,0.004140766
2016-06-30,GLD,126.47,0.004993906
2016-07-01,GLD,128.41,0.015223163
2016-07-05,GLD,129.47,0.008220905
2016-07-06,GLD,130.23,0.005852882
2016-07-07,GLD,129.74,-0.003769595
2016-07-08,GLD,130.52,0.0059940144
2016-07-11,GLD,129.29,-0.009468613
2016-07-12,GLD,127.15,-0.016690388
2016-07-13,GLD,128.32,0.009159697
2016-07-14,GLD,127.33,-0.0077450452
2016-07-15,GLD,126.84,-0.003855735
2016-07-18,GLD,127.04,0.0015755839
2016-07-19,GLD,127.21,0.0013372522
2016-07-20,GLD,125.39,-0.014410381
2016-07-21,GLD,127.3,0.015117655
2016-07-22,GLD,126.35,-0.0074907076
2016-07-25,GLD,125.47,-0.0069891256
2016-07-26,GLD,126.0,0.004215211
2016-07-27,GLD,128.03,0.015982695
2016-07-28,GLD,127.66,-0.0028940935
2016-07-29,GLD,128.98,0.010286812
2016-08-01,GLD,129.22,0.0018590671
2016-08-02,GLD,130.27,0.008092865
2016-08-03,GLD,129.65,-0.0047707874
2016-08-04,GLD,129.87,0.0016954476
2016-08-05,GLD,127.55,-0.018025445
2016-08-08,GLD,127.44,-0.00086278375
2016-08-09,GLD,127.96,0.004072023
2016-08-10,GLD,128.56,0.0046779946
2016-08-11,GLD,127.67,-0.006946907
2016-08-12,GLD,127.4,-0.0021170403
2016-08-15,GLD,127.84,0.0034476982
2016-08-16,GLD,128.47,0.0049159704
2016-08-17,GLD,128.5,0.0002334808
2016-08-18,GLD,129.11,0.0047358545
2016-08-19,GLD,127.97,-0.008868888
2016-08-22,GLD,127.78,-0.0014858454
2016-08-23,GLD,127.76,-0.00015650499
2016-08-24,GLD,126.34,-0.011176864
2016-08-25,GLD,126.23,-0.0008709901
2016-08-26,GLD,126.05,-0.0014269885
2016-08-29,GLD,126.3,0.0019813757
2016-08-30,GLD,125.03,-0.010106355
2016-08-31,GLD,124.78,-0.0020015219
2016-09-01,GLD,125.29,0.004078881
2016-09-02,GLD,126.57,0.010164455
2016-09-06,GLD,128.71,0.01676635
2016-09-07,GLD,128.27,-0.0034244133
2016-09-08,GLD,127.59,-0.005315481
2016-09-09,GLD,126.75,-0.0066053267
2016-09-12,GLD,126.59,-0.0012631537
2016-09-13,GLD,125.75,-0.0066576796
2016-09-14,GLD,126.18,0.0034136523
2016-09-15,GLD,125.37,-0.006440074
2016-09-16,GLD,125.06,-0.0024757844
2016-09-19,GLD,125.32,0.002076861
2016-09-20,GLD,125.44,0.0009571124
2016-09-21,GLD,127.27,0.014483212
2016-09-22,GLD,127.57,0.0023544435
2016-09-23,GLD,127.65,0.0006269245
2016-09-26,GLD,127.55,-0.0007836871
2016-09-27,GLD,126.62,-0.007317972
2016-09-28,GLD,126.22,-0.003164071
2016-09-29,GLD,126.07,-0.00118912
2016-09-30,GLD,125.64,-0.003416636
2016-10-03,GLD,125.32,-0.0025502061
2016-10-04,GLD,120.97,-0.035327874
2016-10-05,GLD,120.78,-0.0015718923
2016-10-06,GLD,119.66,-0.0093162805
2016-10-07,GLD,119.74,0.0006682891
2016-10-10,GLD,120.16,0.003501511
2016-10-11,GLD,119.55,-0.005089499
2016-10-12,GLD,119.74,0.0015879882
2016-10-13,GLD,120.03,0.0024189937
2016-10-14,GLD,119.36,-0.0055975597
2016-10-17,GLD,119.68,0.0026773752
2016-10-18,GLD,120.42,0.0061641
2016-10-19,GLD,121.11,0.005713612
2016-10-20,GLD,120.74,-0.003059773
2016-10-21,GLD,120.83,0.0007451585
2016-10-24,GLD,120.56,-0.0022370801
2016-10-25,GLD,121.47,0.0075197946
2016-10-26,GLD,120.79,-0.0056138206
2016-10-27,GLD,121.01,0.0018196963
2016-10-28,GLD,121.58,0.004699293
2016-10-31,GLD,121.94,0.0029566432
2016-11-01,GLD,122.73,0.0064577074
2016-11-02,GLD,123.64,0.007387264
2016-11-03,GLD,124.3,0.0053239106
2016-11-04,GLD,124.39,0.00072376325
2016-11-07,GLD,122.15,-0.018171975
2016-11-08,GLD,121.64,-0.004183952
2016-11-09,GLD,121.56,-0.00065790984
2016-11-10,GLD,119.75,-0.015001711
2016-11-11,GLD,117.1,-0.022377979
2016-11-14,GLD,116.11,-0.008490235
2016-11-15,GLD,117.12,0.00866105
2016-11-16,GLD,116.77,-0.0029929143
2016-11-17,GLD,116.17,-0.0051515396
2016-11-18,GLD,115.15,-0.00881898
2016-11-21,GLD,115.58,0.0037273073
2016-11-22,GLD,115.54,-0.00034614844
2016-11-23,GLD,113.25,-0.020019034
2016-11-25,GLD,112.61,-0.005667237
2016-11-28,GLD,113.8,0.010512021
2016-11-29,GLD,113.27,-0.004668229
2016-11-30,GLD,111.75,-0.013510086
2016-12-01,GLD,111.54,-0.0018809544
2016-12-02,GLD,112.14,0.005364806
2016-12-05,GLD,111.54,-0.005364806
