date,ret,
2024-01-16,-0.006828048,-0.682804773
2024-01-17,-0.006020798,-0.60207982
2024-01-18,0.007691537,0.769153731
2024-01-19,0.00979992,0.97999202
2024-01-22,0.000370851,0.037085052
2024-01-23,0.001531152,0.153115241
2024-01-24,-0.001519951,-0.151995082
2024-01-25,0.003641003,0.364100298
2024-01-26,-0.002092837,-0.209283704
2024-01-29,0.007708321,0.770832098
2024-01-30,4.07E-05,0.004069865
2024-01-31,-0.010316102,-1.031610189
2024-02-01,0.011538014,1.153801393
2024-02-02,-0.000146604,-0.014660402
2024-02-05,-0.005753944,-0.575394408
2024-02-06,0.002459072,0.245907217
2024-02-07,0.004999392,0.499939175
2024-02-08,-0.001084963,-0.108496295
2024-02-09,0.002405215,0.240521465
2024-02-12,-0.001559086,-0.155908627
2024-02-13,-0.012915675,-1.291567496
2024-02-14,0.005477226,0.547722591
2024-02-15,0.004780715,0.478071491
2024-02-16,-0.004184858,-0.418485832
2024-02-20,-0.002447291,-0.244729142
2024-02-21,-0.002376822,-0.237682161
2024-02-22,0.012171742,1.217174236
2024-02-23,0.00380737,0.380737011
2024-02-26,-0.001990119,-0.199011881
2024-02-27,-0.000733936,-0.073393624
2024-02-28,-0.001472933,-0.147293275
2024-02-29,0.005505384,0.550538379
2024-03-01,0.011944406,1.194440592
2024-03-04,0.003023006,0.302300625
2024-03-05,-0.002164037,-0.216403704
2024-03-06,0.005659561,0.565956127
2024-03-07,0.005454967,0.545496684
2024-03-08,-0.001585208,-0.158520829
2024-03-11,-0.001646348,-0.164634753
2024-03-12,0.003234712,0.323471178
2024-03-13,-8.38E-05,-0.008381547
2024-03-14,-0.004414037,-0.44140375
2024-03-15,-0.007031466,-0.703146569
2024-03-18,0.004397161,0.439716095
2024-03-19,0.001809898,0.180989775
2024-03-20,0.008059227,0.805922721
2024-03-21,0.001447803,0.14478029
2024-03-22,-9.15E-05,-0.0091517
2024-03-25,-0.001779342,-0.177934185
